N_Stelle;Text;Date;IdUtente;IdRistorante;Risposta
4;Buono dai;2026-01-10T19:06:59.079;3;9382;
5;Buonissimo!;2026-01-22T19:43:39.082;1;17734;
5;Molto buona la cucina polacca!;2026-01-22T19:47:02.838;3;17736;
3;Ottimo;2026-01-23T10:30:16.236;17737;9382;
5;Tutto perfetto.;2026-05-16T12:50:14.756;1;17735;ok
3;Qualià da rivedere.;2026-05-16T12:52:48.993;1;17735;Daje
5;tutto;2026-08-19T23:57:20.645528600;1;17737
3;fsdf;2026-08-24T12:50:59.437690400;1;1
5;Buon il servizio!!!;2026-08-24T13:01:11.194759300;1;1
2;I primi andrebbero rivisti;2026-08-24T13:02:07.598300600;1;3
